OSILNICA,353
HODOŠ/HODOS,353
SOLČAVA,513
KOBILJE,542
JEZERSKO,625
KOSTEL,635
DOBJE,949
RIBNICA NA POHORJU,1116
SVETI ANDRAŽ V SLOVENSKIH GORICAH,1180
RAZKRIŽJE,1277
DOBROVNIK/DOBRONAK,1284
ŽETALE,1309
VERŽEJ,1325
BISTRICA OB SOTLI,1336
TRNOVSKA VAS,1366
ŠALOVCI,1380
VELIKA POLANA,1392
LUČE,1448
ZAVRČ,1479
BLOKE,1564
KUZMA,1573
ODRANCI,1632
TABOR,1669
CANKOVA,1734
LOŠKI POTOK,1789
PODLEHNIK,1801
SREDIŠČE OB DRAVI,1902
SVETI TOMAŽ,1988
GORNJI PETROVCI,1995
MAKOLE,2010
GRAD,2042
CERKVENJAK,2083
SVETI JURIJ V SLOVENSKIH GORICAH,2098
SVETA TROJICA V SLOVENSKIH GORICAH,2101
SODRAŽICA,2185
DOBRNA,2234
VITANJE,2272
SVETA ANA,2294
REČICA OB SAVINJI,2322
PODVELKA,2339
CIRKULANE,2345
JURŠINCI,2380
KOSTANJEVICA NA KRKI,2432
GORNJI GRAD,2476
LJUBNO,2550
BENEDIKT,2615
VRANSKO,2624
NAZARJE,2639
DESTRNIK,2643
VUZENICA,2649
MIRNA,2649
GORJE,2738
SVETI JURIJ OB ŠČAVNICI,2782
DORNAVA,2902
LOVRENC NA POHORJU,2963
ŠENTRUPERT,2969
MIRNA PEČ,2988
KOZJE,2989
ROGAŠOVCI,3024
HORJUL,3024
BOVEC,3073
MOKRONOG - TREBELNO,3089
ROGATEC,3106
TURNIŠČE,3145
ANKARAN/ANCARANO,3224
ŠMARTNO OB PAKI,3265
ČRNA NA KOROŠKEM,3285
ŠKOCJAN,3352
MUTA,3414
PODČETRTEK,3446
ŠMARJEŠKE TOPLICE,3462
KOMEN,3529
APAČE,3533
KRIŽEVCI,3537
DOLENJSKE TOPLICE,3553
MEŽICA,3595
LOG - DRAGOMER,3656
PREDDVOR,3714
LOŠKA DOLINA,3757
SEMIČ,3864
DOBREPOLJE,3878
HAJDINA,3879
STRAŽA,3936
TRZIN,3940
ČRENŠOVCI,3968
TIŠINA,3970
MARKOVCI,4039
STARŠE,4046
KOBARID,4052
MAJŠPERK,4056
GORIŠNICA,4112
OPLOTNICA,4137
RADEČE,4139
MOZIRJE,4150
DIVAČA,4213
RENČE - VOGRSKO,4371
ŽIROVNICA,4394
VELIKE LAŠČE,4410
POLJČANE,4449
SELNICA OB DRAVI,4493
ŠTORE,4529
CERKNO,4547
MISLINJA,4566
BOROVNICA,4579
HRPELJE - KOZINA,4604
ŽUŽEMBERK,4702
KUNGOTA,4724
ŽIRI,4933
MIREN - KOSTANJEVICA,4977
VODICE,4985
PREBOLD,5103
RADENCI,5112
BOHINJ,5145
KRANJSKA GORA,5225
KANAL,5291
NAKLO,5384
MORAVČE,5449
BRDA,5619
VIDEM,5625
BRASLOVČE,5639
ŠMARTNO PRI LITIJI,5642
VIPAVA,5703
MORAVSKE TOPLICE,5837
PUCONCI,5873
LUKOVICA,5890
RADLJE OB DRAVI,6169
PIVKA,6201
POLZELA,6258
ŠEMPETER - VRTOJBA,6292
DOL PRI LJUBLJANI,6310
KOMENDA,6387
KIDRIČEVO,6541
ZREČE,6550
ŽELEZNIKI,6720
PREVALJE,6799
MIKLAVŽ NA DRAVSKEM POLJU,6929
DUPLEK,6996
RUŠE,7017
ŠENTJERNEJ,7199
PESNICA,7410
RAČE - FRAM,7531
GORENJA VAS - POLJANE,7557
IG,7617
CERKLJE NA GORENJSKEM,7769
DOBROVA - POLHOV GRADEC,7800
BLED,7868
BELTINCI,8059
MENGEŠ,8279
ŠENTILJ,8351
GORNJA RADGONA,8417
METLIKA,8470
LENART,8502
ŠOŠTANJ,8784
ŠENČUR,8814
DRAVOGRAD,8884
VOJNIK,8907
HRASTNIK,9113
RIBNICA,9527
ŠMARJE PRI JELŠAH,10271
LENDAVA/LENDVA,10426
TOLMIN,11003
ROGAŠKA SLATINA,11132
LJUTOMER,11268
RAVNE NA KOROŠKEM,11348
ŠKOFLJICA,11577
CERKNICA,11580
HOČE - SLIVNICA,11753
IDRIJA,11811
ORMOŽ,11906
BREZOVICA,12671
LAŠKO,13067
TREBNJE,13133
ILIRSKA BISTRICA,13297
SEŽANA,13551
ČRNOMELJ,14241
LOGATEC,14396
TRŽIČ,14961
SLOVENSKE KONJICE,15042
LITIJA,15499
KOČEVJE,15674
TRBOVLJE,16105
ZAGORJE OB SAVI,16439
POSTOJNA,16442
IZOLA/ISOLA,16486
SLOVENJ GRADEC,16591
MEDVODE,16829
IVANČNA GORICA,17008
VRHNIKA,17529
SEVNICA,17642
PIRAN/PIRANO,17676
MURSKA SOBOTA,18758
RADOVLJICA,19072
ŠENTJUR,19225
AJDOVŠČINA,19418
GROSUPLJE,21314
JESENICE,21340
ŽALEC,21492
ŠKOFJA LOKA,23297
PTUJ,23530
BREŽICE,24051
SLOVENSKA BISTRICA,25827
KRŠKO,26224
KAMNIK,29925
NOVA GORICA,31884
VELENJE,33656
DOMŽALE,36675
NOVO MESTO,37587
CELJE,49540
KOPER/CAPODISTRIA,52630
KRANJ,57065
MARIBOR,112682
LJUBLJANA,295504
