MESTNA OBČINA LJUBLJANA,"334,974,278.90 "
MESTNA OBČINA MARIBOR,"111,263,808.50 "
MESTNA OBČINA KOPER,"65,621,290.18 "
MESTNA OBČINA KRANJ,"60,955,460.61 "
MESTNA OBČINA CELJE,"60,615,766.89 "
MESTNA OBČINA VELENJE,"46,632,028.62 "
MESTNA OBČINA NOVO MESTO,"43,217,696.28 "
OBČINA KRŠKO,"40,577,980.65 "
MESTNA OBČINA NOVA GORICA,"34,221,599.34 "
OBČINA DOMŽALE,"32,483,000.82 "
OBČINA BREŽICE,"27,324,790.30 "
MESTNA OBČINA PTUJ,"25,867,374.49 "
OBČINA KAMNIK,"25,474,096.91 "
OBČINA SLOVENSKA BISTRICA,"25,251,243.16 "
OBČINA PIRAN,"22,987,490.90 "
OBČINA ŠKOFJA LOKA,"22,794,556.47 "
OBČINA POSTOJNA,"21,828,299.90 "
OBČINA GROSUPLJE,"21,280,910.39 "
OBČINA IZOLA,"20,402,967.04 "
OBČINA ŽALEC,"20,162,946.16 "
OBČINA AJDOVŠČINA,"20,129,570.17 "
MESTNA OBČINA MURSKA SOBOTA,"20,056,519.33 "
OBČINA ŠENTJUR,"19,756,962.56 "
OBČINA KOČEVJE,"19,729,360.39 "
OBČINA JESENICE,"19,705,388.71 "
MESTNA OBČINA SLOVENJ GRADEC,"19,101,134.58 "
OBČINA RADOVLJICA,"19,010,368.55 "
OBČINA SEVNICA,"18,999,839.14 "
OBČINA MEDVODE,"18,049,233.53 "
OBČINA LITIJA,"17,007,736.92 "
OBČINA ANKARAN,"16,631,664.51 "
OBČINA TRBOVLJE,"16,294,364.57 "
OBČINA IVANČNA GORICA,"16,284,371.08 "
OBČINA VRHNIKA,"16,018,886.86 "
OBČINA LOGATEC,"15,851,147.62 "
OBČINA LAŠKO,"15,689,118.71 "
OBČINA ZAGORJE OB SAVI,"15,493,450.00 "
OBČINA ČRNOMELJ,"15,319,445.68 "
OBČINA ŠOŠTANJ,"15,213,090.31 "
OBČINA TRŽIČ,"15,198,285.09 "
OBČINA IDRIJA,"14,919,299.93 "
